product_title,product_id,variant_id,sku,product_collection
Heart & Soul - 3 Item,109303332882,1052167307282,764204108572,Heart & Soul - 3 Item
Heart & Soul - 5 Item,109301366802,1052164456466,764204108565,Heart & Soul - 5 Item
Modern Muse - 3 Item,91236466706,930204057618,764204046874,Modern Muse - 5 Item
Modern Muse - 5 Item,91236368402,930192949266,764204046867,Modern Muse - 3 Item
Give Me Amore - 3 Item,138427793426,1340711501842,764204126842,Give Me Amore - 3 Item
Give Me Amore - 5 Item,138427695122,1340711272466,764204126866,Give Me Amore - 5 Item
Sweetest Thing - 3 Item,138427596818,1340709568530,764204046881,Sweetest Thing - 3 Item
Sweetest Thing - 5 Item,138427465746,1340707569682,764204126859,Sweetest Thing - 5 Item
All-Star - 3 Items,175542632466,1599425806354,764204132072,All-Star - 3 Items
All-Star - 5 Items,175542304786,1599425282066,764204132089,All-Star - 5 Items
Set The Pace - 3 Items,175541518354,1599422562322,764204132058,Set The Pace - 3 Items
Set The Pace - 5 Items,175541026834,1599420006418,764204132065,Set The Pace - 5 Items
Running Wild - 3 Item,197986877458,1788456075282,764204142705,Running Wild - 3 Item
Running Wild - 5 Item,197986385938,1788454535186,764204142736,Running Wild - 5 Item
After Dark - 3 Item,197987074066,1788456960018,764204142712,After Dark - 3 Item
After Dark - 5 Item,197986910226,1788456108050,764204142743,After Dark - 5 Item
Wild Orchid - 3 Items,207131803666,1819797815314,764204150267,Wild Orchid - 3 Items
Wild Orchid - 5 Items,207131705362,1819797520402,764204150250,Wild Orchid - 5 Items
Sky's The Limit - 3 Items,207132033042,1819797979154,764204150281,Sky's The Limit - 3 Items
Sky's The Limit - 5 Items,207131967506,1819797946386,764204150274,Sky's The Limit - 5 Items
Weekend Warrior - 3 Items,224674447378,2008926846994,764204172511,Weekend Warrior - 3 Items
Weekend Warrior - 5 Items,224674381842,2008926683154,764204172504,Weekend Warrior - 5 Items
Back to Black - 3 Items,224674316306,2008926519314,764204172498,Back to Black - 3 Items
Back to Black - 5 Items,224674283538,2008926486546,764204172481,Back to Black - 5 Items
Seeing Stars - 3 Items,1446660702266,13422444281914,764204172542,Seeing Stars - 3 Items
Seeing Stars - 5 Items,1446656999482,13422427209786,764204172573,Seeing Stars - 5 Items
Vitamin Sea - 3 Items,1446669287482,13422500282426,764204172566,Vitamin Sea - 3 Items
Vitamin Sea - 5 Items,1446664306746,13422463352890,764204172559,Vitamin Sea - 5 Items
